sequence,frameType,bytes,encodeMs,latencyMs
735,Delta,2440,0.689,0.157
736,Keyframe,9091,0.767,0.272
737,Delta,1540,0.883,0.317
738,Delta,2070,0.781,0.161
739,Delta,1729,0.768,0.149
740,Delta,1723,0.763,0.133
741,Delta,1925,0.784,0.137
742,Delta,2249,1.054,0.364
743,Delta,1923,0.806,0.162
744,Delta,1878,0.599,0.153
745,Delta,1979,0.614,0.152
746,Delta,2301,0.623,0.152
747,Delta,1837,0.590,0.143
748,Delta,1858,0.677,0.151
749,Delta,1804,1.160,0.324
750,Delta,2167,0.927,0.226
751,Keyframe,8709,0.984,1.170
752,Delta,1420,0.912,0.140
753,Delta,2120,0.787,0.136
754,Delta,1828,1.016,0.289
755,Delta,1675,0.630,0.285
756,Delta,1676,0.736,0.139
757,Delta,2070,0.681,0.280
758,Delta,1894,0.692,0.159
759,Delta,1775,0.612,0.142
760,Delta,2152,0.604,0.145
761,Delta,2119,0.562,0.131
762,Delta,2119,0.617,0.244
763,Delta,2078,1.178,0.256
764,Delta,1950,0.760,0.291
765,Delta,2502,0.755,0.259
766,Keyframe,9170,0.654,0.324
767,Delta,1251,0.808,0.155
768,Delta,1859,0.702,0.146
769,Delta,1710,0.756,0.153
770,Delta,1562,0.809,0.162
771,Delta,1978,0.747,0.159
772,Delta,2044,0.660,0.284
773,Delta,2046,0.706,0.182
774,Delta,1861,1.111,0.233
775,Delta,1922,0.791,0.199
776,Delta,2032,1.019,0.344
777,Delta,1692,0.821,0.168
778,Delta,2151,0.860,0.153
779,Delta,1987,0.544,0.157
780,Delta,1959,0.539,0.138
781,Keyframe,9115,0.587,0.461
782,Delta,1395,0.578,0.180
783,Delta,1953,0.809,0.149
784,Delta,1860,0.788,0.217
785,Delta,1719,1.124,0.354
786,Delta,2059,0.677,0.150
787,Delta,2505,0.636,0.212
788,Delta,2287,0.647,0.142
789,Delta,2191,0.834,0.159
790,Delta,2123,0.597,0.126
791,Delta,2337,0.935,0.149
792,Delta,2107,1.051,0.175
793,Delta,2043,0.899,0.248
794,Delta,2147,0.569,0.148
795,Delta,2441,0.805,0.227
796,Keyframe,8937,0.636,0.379
797,Delta,1599,1.024,0.162
798,Delta,2133,0.807,0.147
799,Delta,1815,1.022,0.166
800,Delta,1767,1.206,0.178
801,Delta,1928,0.934,0.142
802,Delta,2363,0.577,0.142
803,Delta,1990,0.669,0.143
804,Delta,1880,0.694,0.161
805,Delta,1839,0.678,0.145
806,Delta,2059,0.868,0.163
807,Delta,2122,0.733,0.169
808,Delta,1993,1.569,0.436
